brand;code;series;model;kind;size;description
sabian;11406XN;HHX;Studio Crash;Crash;14;Thin design for fast and full accents loaded with a bright tone that shimmers.
sabian;11606XN;HHX;Studio Crash;Crash;16;Thin design for fast and full accents loaded with a bright tone that shimmers.
sabian;11806XN;HHX;Studio Crash;Crash;18;Thin design for fast and full accents loaded with a bright tone that shimmers.
sabian;11608XN;HHX;Stage Crash;Crash;16;Medium weight boosts volume for solid attack and full-bodied, warm, penetrating response.
sabian;11808XN;HHX;Stage Crash;Crash;18;Medium weight boosts volume for solid attack and full-bodied, warm, penetrating response.
sabian;11692XN;HHX;X-Treme Crash;Crash;16;A blend of dark and funky thin crash explosion with hot, simmering attack.
sabian;11792XN;HHX;X-Treme Crash;Crash;17;A blend of dark and funky thin crash explosion with hot, simmering attack.
sabian;11892XN;HHX;X-Treme Crash;Crash;18;A blend of dark and funky thin crash explosion with hot, simmering attack.
sabian;11992XN;HHX;X-Treme Crash;Crash;19;A blend of dark and funky thin crash explosion with hot, simmering attack.
sabian;11687XB;HHX;X-Plosion Crash;Crash;16;Simmering, dark tones boosted by explosive power deliver a toneful explosion.
sabian;11787XB;HHX;X-Plosion Crash;Crash;17;Simmering, dark tones boosted by explosive power deliver a toneful explosion.
sabian;11887XB;HHX;X-Plosion Crash;Crash;18;Simmering, dark tones boosted by explosive power deliver a toneful explosion.
sabian;11987XB;HHX;X-Plosion Crash;Crash;19;Simmering, dark tones boosted by explosive power deliver a toneful explosion.
sabian;12087XB;HHX;X-Plosion Crash;Crash;20;Simmering, dark tones boosted by explosive power deliver a toneful explosion.
sabian;11706XLN;HHX;Legacy Crash;Crash;17;With its dark tone, this highly responsive model can play loudly but is always musical.
sabian;11806XLN;HHX;Legacy Crash;Crash;18;With its dark tone, this highly responsive model can play loudly but is always musical.
sabian;11711XEB;HHX;Evolution Effeks Crash;Crash;17;Simply touch to activate this hand- or stick-playable extra-thin model with the finger-friendly, down-turned edge.
sabian;11606XEB;HHX;Evolution Crash;Crash;16;The warm, explosive response is fast and shimmering, for increased cut and projection.
sabian;11706XEB;HHX;Evolution Crash;Crash;17;The warm, explosive response is fast and shimmering, for increased cut and projection.
